"x","y","fold","pr_ab","PC1","PC2","PC3","PC4","PC5","Clay","Slope","SoilType"
-45.856425,-22.724297,1,1,1.86748397350311,5.56072902679443,-4.11541414260864,0.531654953956604,-1.42141318321228,286.838989257812,14.5048303604126,6
-44.643828,-22.171342,1,1,-0.508973956108093,3.49542045593262,-3.45935487747192,0.591253221035004,-0.355603575706482,397.481384277344,15.7024660110474,10
-51.655308,-26.11119,1,1,3.6605339050293,3.40123510360718,-0.104038037359715,0.607264697551727,1.46852219104767,532.581726074219,12.5710649490356,19
-50.855708,-29.313497,2,1,3.97711563110352,4.54700946807861,1.22606408596039,-0.535372197628021,0.346179038286209,425.683471679688,9.6763162612915,19
-50.172947,-29.354728,4,1,3.9020893573761,4.74641227722168,1.46541225910187,-1.20773375034332,0.140603646636009,483.656890869141,14.1004915237427,6
-50.980654,-25.211599,2,1,2.26366376876831,2.20944261550903,-0.0059761586599052,-0.214718520641327,1.13191735744476,402.952728271484,3.32349014282227,10
-51.4951,-26.644358,2,1,4.12973022460938,3.98816323280334,-1.42356550693512,0.0793470740318298,1.82677972316742,554.150390625,4.63120937347412,6
-49.247447,-25.42408,2,1,1.65361261367798,2.81463050842285,0.0828334540128708,-0.372496068477631,0.394823402166367,424.125335693359,2.07128095626831,10
-49.632441,-25.583196,4,1,2.27989482879639,2.41185998916626,-0.797016978263855,-1.0192893743515,0.91968822479248,351.064025878906,2.55077505111694,6
-47.81549,-22.255977,3,1,-1.2356698513031,2.21052885055542,-1.10242283344269,-0.733258306980133,-0.391980051994324,363.723114013672,4.28667163848877,10
-46.563838,-23.727211,4,1,0.182090699672699,4.00812530517578,0.255337864160538,-0.997314691543579,-1.13378822803497,290.775573730469,4.31372261047363,10
-53.791221,-26.030523,1,1,2.790935754776,1.8790408372879,-0.0242627896368504,2.60715532302856,1.30095267295837,516.7490234375,4.96603727340698,10
-51.523121,-29.257583,1,1,3.83165693283081,3.25104808807373,1.05014717578888,-0.618785262107849,0.529480397701263,468.686462402344,6.35053491592407,19
-53.759808,-29.614734,2,1,3.84848189353943,1.90959334373474,1.73657393455505,0.198610082268715,0.428498387336731,316.171508789062,4.86546611785889,1
-44.720428,-23.220022,4,1,-1.16968131065369,3.31945157051086,3.01858878135681,2.52911329269409,-1.53533434867859,357.052581787109,11.008978843689,10
-46.657562,-23.564825,1,1,-0.572918593883514,3.17097687721252,0.0346903428435326,-1.69406449794769,-1.06062972545624,313.005035400391,3.08008408546448,10
-53.72206,-29.7027,3,1,3.39891600608826,0.892439603805542,2.40838503837585,0.697117209434509,0.213253155350685,242.236587524414,5.39749622344971,1
-54.821062,-29.887278,3,1,3.43597817420959,0.531399011611938,1.9488936662674,0.940761864185333,0.134246274828911,250.261245727539,1.50547671318054,1
-47.450884,-24.289893,1,1,-0.676673531532288,2.19380855560303,2.92480397224426,-0.549188077449799,-2.16452312469482,376.885589599609,11.1288299560547,1
-55.795408,-29.790648,1,1,3.19700264930725,0.32575711607933,1.10332262516022,1.44979739189148,-0.0294699929654598,336.200012207031,1.41578257083893,21
-53.828349,-32.129154,4,1,4.08298492431641,0.356412321329117,0.254725098609924,-0.582244038581848,0.00638943491503596,266.423980712891,3.19738149642944,1
-50.347933,-29.846985,3,1,3.04490947723389,2.93549036979675,2.47314143180847,-1.95063245296478,-0.634401559829712,330.524169921875,8.4271764755249,19
-54.077439,-26.605379,2,1,3.32868313789368,1.65700948238373,0.36980140209198,2.07798361778259,1.28860402107239,476.226715087891,3.94649934768677,10
-50.788974,-25.725707,4,1,2.78875112533569,2.45762753486633,-0.733086168766022,-0.135303974151611,1.20610976219177,491.413299560547,3.1036524772644,10
-54.125461,-26.638217,2,1,3.28017401695251,1.48977327346802,0.39205613732338,1.95727121829987,1.2067631483078,561.895080566406,4.01842880249023,10
-49.378322,-25.303714,3,1,2.07644295692444,3.84776973724365,-0.397034853696823,-0.641255795955658,0.282758057117462,502.665466308594,6.69106483459473,6
-44.444167,-22.297222,4,1,-0.6396364569664,3.28161954879761,-2.48555469512939,0.235520333051682,-0.666570723056793,360.546264648438,17.0716934204102,10
-51.013748,-29.085392,4,1,3.84878301620483,4.39489221572876,0.841427445411682,-0.428025841712952,0.496200621128082,467.793823242188,6.61496591567993,19
-50.158322,-25.099425,1,1,2.18938875198364,2.19513940811157,-0.659000992774963,-0.315673261880875,0.980618298053741,351.649566650391,4.37365913391113,10
-49.54197,-25.417447,4,1,2.14455318450928,3.1342830657959,-0.517155528068542,-0.662501513957977,0.484530657529831,385.078826904297,4.55209827423096,1
-49.019664,-25.380826,1,1,1.76585972309113,4.55106067657471,0.406375676393509,-0.490596652030945,-0.258781671524048,473.624816894531,7.09551763534546,6
-49.499996,-25.69888,4,1,2.37491774559021,2.61789798736572,-0.792950630187988,-1.28777074813843,0.837369322776794,360.845733642578,3.11854124069214,6
-49.178478,-25.422583,2,1,1.49648201465607,2.92192983627319,0.166813626885414,-0.351869195699692,0.370871245861053,430.968658447266,1.30555784702301,10
-49.724628,-25.301261,3,1,2.06581091880798,2.75087857246399,-0.036202035844326,-0.420441031455994,0.42115107178688,382.314208984375,9.54924488067627,10
-55.281919,-33.579291,1,1,5.10418319702148,0.453899532556534,-0.732282996177673,-0.41977670788765,0.438317686319351,245.109130859375,2.57917594909668,20
-51.262944,-25.624028,2,1,3.26610684394836,4.35690927505493,-0.73705917596817,-0.696668326854706,1.4661750793457,594.535461425781,4.52665996551514,6
-49.503844,-25.340996,2,1,2.06018948554993,3.39566898345947,-0.328309327363968,-0.667785048484802,0.368712186813354,439.475006103516,7.48289155960083,6
-44.174128,-22.734047,2,1,-0.180127441883087,3.37661838531494,-2.28746509552002,0.094584733247757,-0.287043809890747,328.897888183594,18.3942375183105,10
-54.072142,-29.353329,3,1,3.69406008720398,1.65419101715088,1.63792395591736,0.853420555591583,0.594427585601807,341.998077392578,3.5172963142395,1
-53.922127,-26.546825,2,1,3.44583988189697,2.18052959442139,0.463372558355331,2.05320334434509,1.40363609790802,481.704833984375,6.80910062789917,10
-43.053883,-22.281388,2,1,-0.721190214157104,3.7631893157959,-1.06091022491455,0.00910648889839649,-0.898045122623444,300.273773193359,18.2760696411133,10
-51.083328,-28.224758,2,1,3.56862306594849,3.45576667785645,-0.177295535802841,-0.380629390478134,1.1392594575882,545.679870605469,1.9456695318222,6
-48.07453,-25.007003,4,1,-0.925515055656433,2.99333143234253,3.51086091995239,0.849767804145813,-3.37750363349915,409.742034912109,4.9053168296814,1
-43.930638,-21.708941,3,1,-1.3126482963562,3.73800158500671,-2.09223866462708,-0.565423607826233,-0.597750961780548,366.267272949219,10.7214908599854,10
-47.041613,-23.527235,1,1,0.0896975100040436,3.84881472587585,-0.645023703575134,-2.20056080818176,-0.758325099945068,320.089447021484,8.76897144317627,10
-51.796417,-25.153639,3,1,2.53592991828918,3.84052753448486,-0.239219516515732,0.00804141070693731,1.22156584262848,636.573364257812,7.15538454055786,10
-52.83905,-27.144929,2,1,3.11078310012817,1.81799125671387,1.46210074424744,2.23311328887939,0.779082179069519,455.312225341797,8.91144466400146,19
-52.535664,-26.975066,3,1,3.48908400535583,3.68031334877014,1.28716850280762,2.31274580955505,1.39854288101196,426.209655761719,8.80377197265625,10
-53.487654,-28.252427,1,1,3.35754466056824,1.78088665008545,1.35134673118591,1.32204461097717,0.661244511604309,426.859466552734,4.78463792800903,10
